#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2023-04-22-07-40-37
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	version	user_agent	origin	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	tags	username	password	proxied	orig_fuids	orig_filenames	orig_mime_types	resp_fuids	resp_filenames	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	string	string	count	count	count	string	count	string	set[enum]	string	string	set[string]	vector[string]	vector[string]	vector[string]	vector[string]	vector[string]	vector[string]
1679467165.282023	CcekpK3EmTWSk41uSj	192.168.177.25	62370	178.79.212.129	80	10	GET	msedge.b.tlu.dl.delivery.mp.microsoft.com	/filestreamingservice/files/b655b170-5e68-4584-b766-0ae2337ad60b?P1=1680064409&P2=404&P3=2&P4=POkhQyeE1C5RMVdOBTGUHhNKkLeIPl8DS+TfThwNX9Jz8qfbsFYQmnHssbKKmkIOX6knvZncj3wSdFeGq3sKpQ==	-	1.1	Microsoft BITS/7.8	-	0	157846	206	Partial Content	-	-	(empty)	-	-	-	-	-	-	-	-	-
1679467166.346906	CcekpK3EmTWSk41uSj	192.168.177.25	62370	178.79.212.129	80	11	GET	msedge.b.tlu.dl.delivery.mp.microsoft.com	/filestreamingservice/files/b655b170-5e68-4584-b766-0ae2337ad60b?P1=1680064409&P2=404&P3=2&P4=POkhQyeE1C5RMVdOBTGUHhNKkLeIPl8DS+TfThwNX9Jz8qfbsFYQmnHssbKKmkIOX6knvZncj3wSdFeGq3sKpQ==	-	1.1	Microsoft BITS/7.8	-	0	298341	206	Partial Content	-	-	(empty)	-	-	-	-	-	-	-	-	-
1679467167.413829	CcekpK3EmTWSk41uSj	192.168.177.25	62370	178.79.212.129	80	12	GET	msedge.b.tlu.dl.delivery.mp.microsoft.com	/filestreamingservice/files/b655b170-5e68-4584-b766-0ae2337ad60b?P1=1680064409&P2=404&P3=2&P4=POkhQyeE1C5RMVdOBTGUHhNKkLeIPl8DS+TfThwNX9Jz8qfbsFYQmnHssbKKmkIOX6knvZncj3wSdFeGq3sKpQ==	-	1.1	Microsoft BITS/7.8	-	0	643817	206	Partial Content	-	-	(empty)	-	-	-	-	-	-	-	-	-
1679467168.482495	CcekpK3EmTWSk41uSj	192.168.177.25	62370	178.79.212.129	80	13	GET	msedge.b.tlu.dl.delivery.mp.microsoft.com	/filestreamingservice/files/b655b170-5e68-4584-b766-0ae2337ad60b?P1=1680064409&P2=404&P3=2&P4=POkhQyeE1C5RMVdOBTGUHhNKkLeIPl8DS+TfThwNX9Jz8qfbsFYQmnHssbKKmkIOX6knvZncj3wSdFeGq3sKpQ==	-	1.1	Microsoft BITS/7.8	-	0	531828	206	Partial Content	-	-	(empty)	-	-	-	-	-	-	-	-	-
1679467169.558435	CcekpK3EmTWSk41uSj	192.168.177.25	62370	178.79.212.129	80	14	GET	msedge.b.tlu.dl.delivery.mp.microsoft.com	/filestreamingservice/files/b655b170-5e68-4584-b766-0ae2337ad60b?P1=1680064409&P2=404&P3=2&P4=POkhQyeE1C5RMVdOBTGUHhNKkLeIPl8DS+TfThwNX9Jz8qfbsFYQmnHssbKKmkIOX6knvZncj3wSdFeGq3sKpQ==	-	1.1	Microsoft BITS/7.8	-	0	241988	206	Partial Content	-	-	(empty)	-	-	-	-	-	-	-	-	-
1679467171.514892	CcekpK3EmTWSk41uSj	192.168.177.25	62370	178.79.212.129	80	15	HEAD	msedge.b.tlu.dl.delivery.mp.microsoft.com	/filestreamingservice/files/8e4562d5-e71c-4a80-9cb7-d0c57066a67b?P1=1680039640&P2=404&P3=2&P4=GVBbG7Y380UPjjYa0ZDCa6q+D21W4rhcCe/GGNIoGadRuKW6Ee2Xh6qQSiafeI//9A/6S2mUNx4tx91NnoZstg==	-	1.1	Microsoft BITS/7.8	-	0	0	200	OK	-	-	(empty)	-	-	-	-	-	-	-	-	-
1679467171.607072	CcekpK3EmTWSk41uSj	192.168.177.25	62370	178.79.212.129	80	16	GET	msedge.b.tlu.dl.delivery.mp.microsoft.com	/filestreamingservice/files/8e4562d5-e71c-4a80-9cb7-d0c57066a67b?P1=1680039640&P2=404&P3=2&P4=GVBbG7Y380UPjjYa0ZDCa6q+D21W4rhcCe/GGNIoGadRuKW6Ee2Xh6qQSiafeI//9A/6S2mUNx4tx91NnoZstg==	-	1.1	Microsoft BITS/7.8	-	0	429515	206	Partial Content	-	-	(empty)	-	-	-	-	-	-	FOAmwn2hPVUmTQwxq9	-	application/chrome-ext
1679467172.673489	CcekpK3EmTWSk41uSj	192.168.177.25	62370	178.79.212.129	80	17	GET	msedge.b.tlu.dl.delivery.mp.microsoft.com	/filestreamingservice/files/8e4562d5-e71c-4a80-9cb7-d0c57066a67b?P1=1680039640&P2=404&P3=2&P4=GVBbG7Y380UPjjYa0ZDCa6q+D21W4rhcCe/GGNIoGadRuKW6Ee2Xh6qQSiafeI//9A/6S2mUNx4tx91NnoZstg==	-	1.1	Microsoft BITS/7.8	-	0	719686	206	Partial Content	-	-	(empty)	-	-	-	-	-	-	-	-	-
1679467173.738775	CcekpK3EmTWSk41uSj	192.168.177.25	62370	178.79.212.129	80	18	GET	msedge.b.tlu.dl.delivery.mp.microsoft.com	/filestreamingservice/files/8e4562d5-e71c-4a80-9cb7-d0c57066a67b?P1=1680039640&P2=404&P3=2&P4=GVBbG7Y380UPjjYa0ZDCa6q+D21W4rhcCe/GGNIoGadRuKW6Ee2Xh6qQSiafeI//9A/6S2mUNx4tx91NnoZstg==	-	1.1	Microsoft BITS/7.8	-	0	762049	206	Partial Content	-	-	(empty)	-	-	-	-	-	-	-	-	-
1679467174.813938	CcekpK3EmTWSk41uSj	192.168.177.25	62370	178.79.212.129	80	19	GET	msedge.b.tlu.dl.delivery.mp.microsoft.com	/filestreamingservice/files/8e4562d5-e71c-4a80-9cb7-d0c57066a67b?P1=1680039640&P2=404&P3=2&P4=GVBbG7Y380UPjjYa0ZDCa6q+D21W4rhcCe/GGNIoGadRuKW6Ee2Xh6qQSiafeI//9A/6S2mUNx4tx91NnoZstg==	-	1.1	Microsoft BITS/7.8	-	0	903046	206	Partial Content	-	-	(empty)	-	-	-	-	-	-	-	-	-
1679467175.884525	CcekpK3EmTWSk41uSj	192.168.177.25	62370	178.79.212.129	80	20	GET	msedge.b.tlu.dl.delivery.mp.microsoft.com	/filestreamingservice/files/8e4562d5-e71c-4a80-9cb7-d0c57066a67b?P1=1680039640&P2=404&P3=2&P4=GVBbG7Y380UPjjYa0ZDCa6q+D21W4rhcCe/GGNIoGadRuKW6Ee2Xh6qQSiafeI//9A/6S2mUNx4tx91NnoZstg==	-	1.1	Microsoft BITS/7.8	-	0	530952	206	Partial Content	-	-	(empty)	-	-	-	-	-	-	-	-	-
1679468129.565282	Cjhwj51QKh7za1c7p7	192.168.177.25	50705	23.14.4.232	80	1	GET	tile-service.weather.microsoft.com	/ru-RU/livetile/preinstall?region=RU&appid=C98EA5B0842DBB9405BBF071E1DA76512D21FE36&FORM=Threshold	-	1.1	Microsoft-WNS/10.0	-	0	4237	200	OK	-	-	(empty)	-	-	-	-	-	-	FEyhzq4AvnZYSuMbvh	-	application/xml
#close	2023-04-22-07-40-39
